hwconfig	swconfig	m	n	k	bias	mn-ratio	ops	bytes	op/byte	cycles	op/cycle
hw_g2_dse8	hw_tiler	4	256	64	yes	0.016	65536	20736	3.160	4477	14.64
hw_g2_dse8	hw_tiler	4	256	256	yes	0.016	262144	70656	3.710	10659	24.59
hw_g2_dse8	hw_tiler	16	64	1	yes	0.250	1024	4176	0.245	1205	0.85
hw_g2_dse8	hw_tiler	16	64	4	yes	0.250	4096	4416	0.928	1279	3.20
hw_g2_dse8	hw_tiler	16	64	16	yes	0.250	16384	5376	3.048	1360	12.05
hw_g2_dse8	hw_tiler	16	64	64	yes	0.250	65536	9216	7.111	1969	33.28
hw_g2_dse8	hw_tiler	16	64	256	yes	0.250	262144	24576	10.667	4122	63.60
hw_g2_dse8	hw_tiler	32	32	1	yes	1.000	1024	4160	0.246	1059	0.97
hw_g2_dse8	hw_tiler	32	32	4	yes	1.000	4096	4352	0.941	1027	3.99
hw_g2_dse8	hw_tiler	32	32	16	yes	1.000	16384	5120	3.200	1160	14.12
hw_g2_dse8	hw_tiler	32	32	64	yes	1.000	65536	8192	8.000	1661	39.46
hw_g2_dse8	hw_tiler	32	32	256	yes	1.000	262144	20480	12.800	2634	99.52
hw_g2_dse8	hw_tiler	64	16	1	yes	4.000	1024	4176	0.245	972	1.05
hw_g2_dse8	hw_tiler	64	16	4	yes	4.000	4096	4416	0.928	1057	3.88
hw_g2_dse8	hw_tiler	64	16	16	yes	4.000	16384	5376	3.048	1137	14.41
hw_g2_dse8	hw_tiler	64	16	64	yes	4.000	65536	9216	7.111	1702	38.51
hw_g2_dse8	hw_tiler	64	16	256	yes	4.000	262144	24576	10.667	3175	82.57
hw_g2_dse8	hw_tiler	256	4	1	yes	64.000	1024	4356	0.235	1424	0.72
hw_g2_dse8	hw_tiler	256	4	4	yes	64.000	4096	5136	0.798	1526	2.68
hw_g2_dse8	hw_tiler	256	4	16	yes	64.000	16384	8256	1.984	1728	9.48
hw_g2_dse8	hw_tiler	256	4	64	yes	64.000	65536	20736	3.160	3169	20.68
hw_g2_dse8	hw_tiler	256	4	256	yes	64.000	262144	70656	3.710	6612	39.65
hw_g2_dse8	hw_tiler	1024	1	1	yes	1024.000	1024	5121	0.200	4358	0.23
hw_g2_dse8	hw_tiler	1024	1	4	yes	1024.000	4096	8196	0.500	4588	0.89
hw_g2_dse8	hw_tiler	1024	1	16	yes	1024.000	16384	20496	0.799	4736	3.46
hw_g2_dse8	hw_tiler	1024	1	64	yes	1024.000	65536	69696	0.940	8047	8.14
hw_g2_dse8	hw_tiler	1024	1	256	yes	1024.000	262144	266496	0.984	25225	10.39
